Unnamed: 0,Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,random_var
798,Fernando,Fernando Lucas Martins,78,78,12000000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/202/642/23_60.png,30,173,66,2086,440,Antalyaspor,27000,24000000,CM,2023,8,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,0.9538208321614025
799,T. Meunier,Thomas Meunier,78,78,12000000,"RB,RM",RB,Belgium,https://cdn.sofifa.net/players/202/371/23_60.png,30,191,90,2096,448,Borussia Dortmund,41000,20400000,RB,2024,24,2020,-,Right,4,3,2,Belgium,https://cdn.sofifa.net/flags/be.png,SUB,15,High,Medium,0.546735569128223
800,M. Rojo,Marcos Rojo,78,78,9000000,CB,CB,Argentina,https://cdn.sofifa.net/players/201/862/23_60.png,32,186,82,1974,414,Boca Juniors,18000,12600000,CB,2022,6,2021,-,Left,2,3,3,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,0.7235150328904006
801,A. Mandi,Aïssa Mandi,78,78,11500000,CB,CB,Algeria,https://cdn.sofifa.net/players/201/143/23_60.png,30,184,78,1929,401,Villarreal CF,31000,24200000,SUB,2025,23,2021,-,Right,3,2,1,-,-,-,-,High,Medium,0.6166029634456691
803,L. Unnerstall,Lars Unnerstall,78,78,7500000,GK,GK,Germany,https://cdn.sofifa.net/players/199/833/23_60.png,31,198,103,1099,409,FC Twente,12000,11300000,GK,2025,1,2021,-,Right,1,1,2,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,0.7932252446583836
804,Campaña,José Gómez Campaña,78,78,13500000,"CM,LM,RM",CM,Spain,https://cdn.sofifa.net/players/199/823/23_60.png,29,179,70,2083,437,Levante Unión Deportiva,16000,21600000,CM,2023,24,2016,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,0.6662427401233885
807,Oriol Romeu,Oriol Romeu Vidal,78,78,12000000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/199/576/23_60.png,30,183,83,1808,371,Girona FC,26000,26400000,CDM,2025,18,2022,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,High,0.5680850023564443
808,Lucas Pérez,Lucas Pérez Martínez,78,78,9000000,ST,CF,Spain,https://cdn.sofifa.net/players/199/354/23_60.png,33,180,73,1959,407,Cádiz CF,35000,18900000,ST,2023,15,2022,-,Left,4,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Low,0.5165506884510677
809,M. Niakhaté,Moussa Niakhaté,78,80,15500000,CB,CB,France,https://cdn.sofifa.net/players/225/859/23_60.png,26,190,85,1860,410,Nottingham Forest,57000,30600000,SUB,2025,19,2022,-,Left,3,2,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,0.5819985307194687
812,Daniel Podence,Daniel Castelo Podence,78,79,16500000,"LW,CAM,ST",CAM,Portugal,https://cdn.sofifa.net/players/226/766/23_60.png,26,165,58,1852,388,Wolverhampton Wanderers,82000,32600000,SUB,2024,10,2020,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium,0.9549112115119989
813,M. Almirón,Miguel Almirón,78,78,14000000,"RM,CM,CAM",RM,Paraguay,https://cdn.sofifa.net/players/230/977/23_60.png,28,174,70,1977,423,Newcastle United,84000,26600000,RW,2024,24,2019,-,Left,2,4,1,-,https://cdn.sofifa.net/flags/py.png,-,-,High,High,0.7406169631765848
814,P. Lienhart,Philipp Lienhart,78,80,15500000,CB,CB,Austria,https://cdn.sofifa.net/players/231/366/23_60.png,25,189,83,1690,370,Sport-Club Freiburg,27000,27500000,CB,2024,3,2018,-,Right,3,2,2,Austria,https://cdn.sofifa.net/flags/at.png,CB,15,Medium,Medium,0.5806856096009383
815,Brahim,Brahim Díaz,78,86,31500000,CAM,CAM,Spain,https://cdn.sofifa.net/players/231/410/23_60.png,22,171,59,1816,385,AC Milan,110000,0,CAM,2023,10,2019,YES,Right,5,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,0.6495240194448946
817,J. Karlsson,Jesper Karlsson,78,83,21000000,LW,CAM,Sweden,https://cdn.sofifa.net/players/231/836/23_60.png,23,171,70,1994,411,AZ Alkmaar,13000,33100000,LW,2026,11,2020,-,Right,3,5,2,Sweden,https://cdn.sofifa.net/flags/se.png,SUB,18,High,Low,0.45318861119547227
819,Ç. Söyüncü,Çağlar Söyüncü,78,80,15500000,CB,CB,Turkey,https://cdn.sofifa.net/players/232/119/23_60.png,26,185,82,1809,399,Leicester City,69000,30600000,SUB,2023,4,2018,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/tr.png,-,-,Medium,Medium,0.4146286105824619
821,W. Endo,Wataru Endo,78,78,13500000,"CM,CDM",CM,Japan,https://cdn.sofifa.net/players/232/487/23_60.png,29,178,77,2006,432,VfB Stuttgart,29000,24300000,CM,2024,3,2020,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/jp.png,-,-,Medium,High,0.7148847013538571
822,J. Ito,Junya Ito,78,78,14000000,"RW,CF",RW,Japan,https://cdn.sofifa.net/players/232/905/23_60.png,29,177,68,2045,439,Stade de Reims,30000,28000000,RW,2026,39,2022,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/jp.png,-,-,High,Medium,0.8102604184745865
826,Luiz Araújo,Luiz Araújo,78,78,15500000,"RM,LM,CAM",RM,Brazil,https://cdn.sofifa.net/players/234/128/23_60.png,26,175,70,1906,408,Atlanta United,11000,23300000,LM,2022,19,2021,-,Left,2,4,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,0.47447167842156357
828,J. Ikoné,Jonathan Ikoné,78,82,20000000,"RW,RM",LM,France,https://cdn.sofifa.net/players/234/612/23_60.png,24,175,73,1899,409,Fiorentina,50000,35500000,SUB,2026,11,2022,-,Left,3,4,3,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,0.43050176072986657
831,D. Lovren,Dejan Lovren,78,78,0,CB,CB,Croatia,https://cdn.sofifa.net/players/195/086/23_60.png,32,188,84,1714,371,Free agent,0,0,-,-,-,2020,-,Right,4,2,2,Croatia,https://cdn.sofifa.net/flags/hr.png,CB,6,Medium,High,0.47633615714979494
832,Jonatão Praz,Jonathan Prazeres Conradi,78,78,16500000,LW,LW,Brazil,https://cdn.sofifa.net/players/230/460/23_60.png,22,172,70,1883,402,Flamengo,38000,29700000,LW,2025,11,2022,-,Left,4,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Low,0.41668019462320927
839,M. Thuram,Marcus Thuram,78,83,21500000,"ST,LM",ST,France,https://cdn.sofifa.net/players/228/093/23_60.png,24,192,90,1973,431,Borussia Mönchengladbach,29000,38200000,ST,2023,10,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,0.6574841086787543
840,Pedraza,Alfonso Pedraza Sag,78,80,16000000,"LB,LM",LB,Spain,https://cdn.sofifa.net/players/228/302/23_60.png,26,184,73,2083,450,Villarreal CF,31000,34800000,LB,2026,24,2014,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,0.7048161064285614
845,Arturo Inálcio,Arturo Adolfo Inálcio Dutra,78,78,16500000,"CM,CAM",CM,Brazil,https://cdn.sofifa.net/players/230/426/23_60.png,22,170,60,1914,408,Flamengo,35000,29700000,CM,2025,19,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,0.5416800006139761
846,L. Nmecha,Lukas Nmecha,78,83,21500000,ST,ST,Germany,https://cdn.sofifa.net/players/230/084/23_60.png,23,185,80,1931,419,VfL Wolfsburg,44000,38200000,ST,2025,10,2021,-,Right,4,3,1,Germany,https://cdn.sofifa.net/flags/de.png,SUB,18,Medium,Low,0.8519208410785013
847,Gerson Armão,Gérson Adriano Gutierres Serra,78,78,15000000,"LB,LWB,LM",LB,Brazil,https://cdn.sofifa.net/players/230/183/23_60.png,22,186,73,2101,440,Internacional,24000,28500000,LB,2025,4,2022,-,Left,5,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,0.8841314730031391
849,Zervandro,A. Zervandro Chiamuloira Paes,78,78,14500000,"CB,LB",CB,Brazil,https://cdn.sofifa.net/players/230/212/23_60.png,22,182,79,1814,384,Internacional,24000,27600000,CB,2025,30,2022,-,Left,3,2,1,Brazil,https://cdn.sofifa.net/flags/br.png,SUB,20,Medium,Medium,0.7197725518932535
851,Hediselton,Hediselton Simão Resende,78,78,15000000,"RB,RM,CM",RB,Brazil,https://cdn.sofifa.net/players/230/360/23_60.png,22,176,75,2078,444,RB Bragantino,16000,28500000,RB,2025,2,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,0.9193899192647264
853,Guilson Paiva,G. Pierre Paiva Souza,78,78,15500000,"RM,RW",RM,Brazil,https://cdn.sofifa.net/players/230/406/23_60.png,26,173,72,1896,415,Flamengo,40000,27900000,RW,2025,21,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,0.4069842837202078
854,Dante,Dante Bonfim Costa Santos,78,78,2500000,CB,CB,Brazil,https://cdn.sofifa.net/players/158/625/23_60.png,38,189,91,1810,375,OGC Nice,28000,4800000,CB,2023,4,2016,-,Left,4,3,3,-,https://cdn.sofifa.net/flags/br.png,-,-,Low,High,0.5344886916447094
856,K. Koné,Kouadio Manu Koné,77,86,23500000,CM,CAM,France,https://cdn.sofifa.net/players/250/723/23_60.png,21,185,80,2027,434,Borussia Mönchengladbach,21000,44700000,CDM,2025,17,2021,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,0.9544418547880756
857,Igor Coronado,Igor Caique Coronado,77,77,10500000,"CAM,CF,LM",CAM,Brazil,https://cdn.sofifa.net/players/202/599/23_60.png,29,170,68,2019,422,Al Ittihad,41000,17900000,LF,2023,10,2021,-,Right,4,5,2,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,0.5803434478168429
858,S. Kritsyuk,Stanislav Kritsyuk,77,77,5500000,GK,GK,Russia,https://cdn.sofifa.net/players/213/150/23_60.png,31,192,85,1221,429,Gil Vicente FC,10000,11600000,SUB,2024,1,2022,-,Right,2,1,1,-,https://cdn.sofifa.net/flags/ru.png,-,-,Medium,Medium,0.8222064085052024
859,A. Tameze,Adrien Tameze,77,77,10500000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/213/242/23_60.png,28,180,78,2087,442,Hellas Verona,29000,17900000,CM,2024,61,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,0.597436460735128
860,F. Tait,Flavien Tait,77,77,10500000,"CM,LM",CM,France,https://cdn.sofifa.net/players/213/388/23_60.png,29,176,73,2037,430,Stade Rennais FC,46000,20000000,CDM,2024,20,2019,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,0.46998572318016607
862,P. Díaz,Paulo Díaz,77,77,9500000,CB,CB,Chile,https://cdn.sofifa.net/players/214/436/23_60.png,27,178,76,2004,428,River Plate,17000,13300000,CB,2024,17,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,Medium,0.8395022420571738
863,C. Izquierdoz,Carlos Izquierdoz,77,77,5000000,CB,CB,Argentina,https://cdn.sofifa.net/players/214/766/23_60.png,33,185,85,1733,372,Real Sporting de Gijón,11000,8000000,CB,2024,24,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Low,High,0.5630120011923142
865,M. Borjan,Milan Borjan,77,77,0,GK,GK,Canada,https://cdn.sofifa.net/players/205/211/23_60.png,34,196,84,1360,423,Free agent,0,0,-,-,-,2020,-,Right,2,1,1,Canada,https://cdn.sofifa.net/flags/ca.png,GK,18,Medium,Medium,0.5844786519374539
868,C. Kramer,Christoph Kramer,77,77,7500000,CDM,CDM,Germany,https://cdn.sofifa.net/players/204/024/23_60.png,31,191,80,1823,382,Borussia Mönchengladbach,26000,12800000,SUB,2023,6,2016,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,0.8031896063108409
870,P. Kadeřábek,Pavel Kadeřábek,77,77,9000000,"RWB,RB,RM",RWB,Czech Republic,https://cdn.sofifa.net/players/203/605/23_60.png,30,182,81,1970,412,TSG Hoffenheim,31000,15300000,RWB,2025,3,2015,-,Right,2,3,2,-,https://cdn.sofifa.net/flags/cz.png,-,-,Medium,Medium,0.695325311401594
872,N. Dorsch,Niklas Dorsch,77,82,14500000,"CDM,CM",CM,Germany,https://cdn.sofifa.net/players/231/227/23_60.png,24,178,76,2076,442,FC Augsburg,23000,27200000,RES,2026,30,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,0.9995417851156745
874,David López,David López Silva,77,77,7000000,"CDM,CB",CDM,Spain,https://cdn.sofifa.net/players/201/505/23_60.png,32,183,81,1868,394,Girona FC,25000,15400000,CB,2023,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,0.65774736231131
875,M. Doherty,Matt Doherty,77,77,9000000,"RWB,RB",RWB,Republic of Ireland,https://cdn.sofifa.net/players/201/417/23_60.png,30,182,87,2007,428,Tottenham Hotspur,69000,17100000,SUB,2024,2,2020,-,Right,4,3,1,Republic of Ireland,-,SUB,21,High,Medium,0.5315553676109734
876,M. Icardi,Mauro Icardi,77,77,10500000,ST,ST,Argentina,https://cdn.sofifa.net/players/201/399/23_60.png,29,181,75,1829,378,Galatasaray SK,75000,0,ST,2023,99,2020,YES,Right,4,3,3,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,0.40131223769656676
877,B. Lecomte,Benjamin Lecomte,77,77,5500000,GK,GK,France,https://cdn.sofifa.net/players/200/726/23_60.png,31,186,78,1157,421,RCD Espanyol de Barcelona,35000,0,GK,2023,13,2019,YES,Left,3,1,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,0.7327259562198467
878,Cristian Tello,Cristian Tello Herrera,77,77,10000000,"LM,RM",LM,Spain,https://cdn.sofifa.net/players/200/315/23_60.png,30,178,65,1971,420,Los Angeles FC,10000,15000000,SUB,2022,37,2022,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,0.8364917251539272
880,N. Pallois,Nicolas Pallois,77,77,3400000,CB,CB,France,https://cdn.sofifa.net/players/199/393/23_60.png,34,189,89,1762,374,FC Nantes,25000,6800000,CB,2024,4,2017,-,Left,2,2,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,0.4250528360203867
881,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,77,77,10500000,CM,CAM,England,https://cdn.sofifa.net/players/198/784/23_60.png,28,175,70,2104,452,Liverpool,90000,19400000,RES,2023,15,2017,-,Right,4,4,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,0.7507508175587516
882,F. Midtsjø,Fredrik Midtsjø,77,77,10500000,CM,CM,Norway,https://cdn.sofifa.net/players/198/658/23_60.png,28,175,68,2052,442,Galatasaray SK,62000,20000000,SUB,2025,6,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,High,0.5138819272998058
888,I. Toney,Ivan Toney,77,79,13000000,ST,ST,England,https://cdn.sofifa.net/players/212/228/23_60.png,26,187,76,2007,423,Brentford,51000,25700000,ST,2025,17,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,0.5204133436271939
889,A. Djiku,Alexander Djiku,77,79,11000000,CB,CB,Ghana,https://cdn.sofifa.net/players/212/219/23_60.png,27,182,81,1857,403,RC Strasbourg Alsace,25000,21700000,CB,2023,24,2019,-,Right,3,2,2,Ghana,https://cdn.sofifa.net/flags/gh.png,CB,4,Low,High,0.44884310348052303
891,J. Harrison,Jack Harrison,77,80,14000000,"LM,RM",LM,England,https://cdn.sofifa.net/players/232/080/23_60.png,25,175,70,1945,420,Leeds United,38000,27700000,LM,2024,11,2021,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,0.7961995627913687
892,D. James,Daniel James,77,82,16000000,"RM,ST,LM",RM,Wales,https://cdn.sofifa.net/players/232/104/23_60.png,24,171,76,1954,425,Fulham,35000,0,SUB,2023,21,2021,YES,Right,4,3,1,Wales,https://cdn.sofifa.net/flags/gb-wls.png,ST,20,High,High,0.5269438056431215
893,K. Tsimikas,Konstantinos Tsimikas,77,80,12500000,"LB,LWB",LB,Greece,https://cdn.sofifa.net/players/232/223/23_60.png,26,179,68,2020,431,Liverpool,80000,24100000,SUB,2025,21,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/gr.png,-,-,High,High,0.80834609912031
894,Isi Palazón,Isaac Palazón Camacho,77,77,11000000,"RM,LM,CAM",RM,Spain,https://cdn.sofifa.net/players/232/498/23_60.png,27,169,71,1945,411,Rayo Vallecano,22000,23100000,RM,2025,7,2020,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,0.7904359871481424
895,R. Doan,Ritsu Doan,77,83,16500000,"RM,CAM",CAM,Japan,https://cdn.sofifa.net/players/232/639/23_60.png,24,172,70,1881,403,Sport-Club Freiburg,25000,31400000,RM,2024,42,2022,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/jp.png,-,-,Medium,Medium,0.4593940028678005
896,A. Vega,Alexis Vega,77,83,0,"LW,ST,LM",CAM,Mexico,https://cdn.sofifa.net/players/233/260/23_60.png,24,173,77,1944,416,Free agent,0,0,-,-,-,2019,-,Right,3,3,1,Mexico,https://cdn.sofifa.net/flags/mx.png,SUB,10,Medium,Low,0.603022635364311
897,M. Turner,Matt Turner,77,80,9500000,GK,GK,United States,https://cdn.sofifa.net/players/233/267/23_60.png,28,191,79,1184,412,Arsenal,56000,18800000,SUB,2024,30,2022,-,Right,2,1,1,United States,https://cdn.sofifa.net/flags/us.png,SUB,13,Medium,Medium,0.8904514210098117
901,Gedson Fernandes,Gedson Carvalho Fernandes,77,81,15000000,CM,CAM,Portugal,https://cdn.sofifa.net/players/234/568/23_60.png,23,181,71,2114,452,Beşiktaş JK,42000,31100000,CM,2026,83,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,High,0.9955737167171143
902,Iago,Iago Amaral Borduchi,77,80,13000000,"LWB,LM",LWB,Brazil,https://cdn.sofifa.net/players/251/182/23_60.png,25,181,67,1947,428,FC Augsburg,25000,24400000,LB,2024,22,2019,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,0.4127870310244598
903,Z. Steffen,Zack Steffen,77,79,9500000,GK,GK,United States,https://cdn.sofifa.net/players/234/777/23_60.png,27,191,86,1322,435,Middlesbrough,73000,0,SUB,2023,1,2019,YES,Right,3,1,1,United States,https://cdn.sofifa.net/flags/us.png,GK,1,Medium,Medium,0.9590002640223017
904,Domingos Duarte,Domingos Sousa Menezes Duarte,77,80,12000000,"CB,LB",CB,Portugal,https://cdn.sofifa.net/players/234/835/23_60.png,27,190,78,1620,355,Getafe CF,26000,26100000,CB,2026,6,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,0.6729122462975248
905,W. Faes,Wout Faes,77,82,14500000,CB,CB,Belgium,https://cdn.sofifa.net/players/235/036/23_60.png,24,187,82,1667,365,Leicester City,56000,28600000,CB,2027,3,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,Medium,0.41893556921627917
906,I. Sarr,Ismaïla Sarr,77,83,16500000,"RM,RW",RM,Senegal,https://cdn.sofifa.net/players/235/353/23_60.png,24,185,76,1832,406,Watford,39000,34700000,ST,2024,23,2019,-,Right,2,4,1,-,-,-,-,High,Medium,0.7030333278850462
908,G. Maggiore,Giulio Maggiore,77,81,15000000,"CM,CDM",CM,Italy,https://cdn.sofifa.net/players/236/368/23_60.png,24,184,69,1951,427,US Salernitana 1919,25000,28100000,CDM,2026,25,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,0.7805652355330817
909,S. Lukić,Saša Lukić,77,80,14000000,CM,CM,Serbia,https://cdn.sofifa.net/players/236/699/23_60.png,25,183,77,2026,424,Torino F.C.,40000,26300000,CM,2023,10,2016,-,Right,3,3,1,-,-,-,-,Medium,Medium,0.9304110381211449
911,C. McGregor,Callum McGregor,77,77,9000000,"CDM,CM",CDM,Scotland,https://cdn.sofifa.net/players/211/093/23_60.png,29,178,74,2111,449,Celtic,50000,16200000,CDM,2026,42,2009,-,Left,4,4,1,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,CM,8,High,High,0.7316662592085897
913,Bruma,Armindo Tué Na Bangna,77,77,11000000,"LW,RW,CAM",LW,Portugal,https://cdn.sofifa.net/players/211/368/23_60.png,27,173,70,1915,408,Fenerbahçe SK,21000,0,RES,2023,22,2019,YES,Right,3,4,2,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Low,0.45576238764061516
915,D. Lazović,Darko Lazović,77,77,8500000,LM,LM,Serbia,https://cdn.sofifa.net/players/212/127/23_60.png,31,181,66,2044,434,Hellas Verona,28000,14500000,LM,2024,8,2019,-,Right,3,3,1,-,-,-,-,Medium,Medium,0.4972327121732485
917,F. Lejeune,Florian Lejeune,77,77,7000000,CB,CB,France,https://cdn.sofifa.net/players/197/948/23_60.png,31,189,81,1804,384,Rayo Vallecano,13000,0,CB,2023,19,2021,YES,Right,3,2,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,0.8259934123433224
918,R. Gikiewicz,Rafał Gikiewicz,77,77,1800000,GK,GK,Poland,https://cdn.sofifa.net/players/194/333/23_60.png,34,190,81,1148,400,FC Augsburg,21000,3200000,GK,2023,1,2020,-,Right,2,1,2,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,0.6734911300433808
919,Hugo Mallo,Hugo Mallo Novegil,77,77,7500000,RB,RB,Spain,https://cdn.sofifa.net/players/194/229/23_60.png,31,173,69,1813,386,RC Celta de Vigo,22000,15800000,RB,2023,2,2009,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,0.42026170853069955
920,B. Yılmaz,Burak Yılmaz,77,77,3600000,ST,ST,Turkey,https://cdn.sofifa.net/players/124/375/23_60.png,36,188,77,1928,405,Fortuna Sittard,14000,5400000,ST,2024,17,2022,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,Medium,0.7703135564960609
921,M. Casco,Milton Casco,77,77,3900000,"LB,RB,CM",RM,Argentina,https://cdn.sofifa.net/players/215/071/23_60.png,34,170,69,2148,455,River Plate,17000,5500000,RB,2025,20,2015,-,Right,5,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Low,0.6924854109010836
922,S. Widmer,Silvan Widmer,77,77,9500000,"RWB,RB,CB",RWB,Switzerland,https://cdn.sofifa.net/players/216/158/23_60.png,29,183,80,2025,437,1. FSV Mainz 05,27000,16200000,RWB,2024,30,2021,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/ch.png,-,-,High,Medium,0.5466898801160864
923,Ander Capa,Ander Capa Rodríguez,77,77,9000000,RB,RB,Spain,https://cdn.sofifa.net/players/216/189/23_60.png,30,175,75,2108,449,Athletic Club de Bilbao,25000,18900000,SUB,2024,21,2018,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,0.7123012181031234
925,Danilo,Danilo Teodoro Soares,77,77,9000000,LB,LB,Brazil,https://cdn.sofifa.net/players/216/283/23_60.png,30,170,73,1992,417,VfL Bochum 1848,24000,16200000,LB,2024,3,2017,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,0.4860508587785932
928,A. Blake,Andre Blake,77,77,5500000,GK,GK,Jamaica,https://cdn.sofifa.net/players/216/939/23_60.png,31,188,79,1206,427,Philadelphia Union,7000,8300000,GK,2024,18,2014,-,Right,2,1,2,-,-,-,-,Medium,Medium,0.814906982946589
929,M. Targett,Matt Targett,77,78,11500000,LB,LB,England,https://cdn.sofifa.net/players/218/659/23_60.png,26,183,70,1910,403,Newcastle United,69000,22700000,LB,2026,13,2022,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,0.7469712872457254
930,M. Vecino,Matias Vecino,77,77,10000000,"CM,CDM",CM,Uruguay,https://cdn.sofifa.net/players/219/985/23_60.png,30,187,81,2018,434,Lazio,45000,17000000,SUB,2025,5,2022,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/uy.png,-,-,High,Medium,0.931183339152195
932,Y. Mina,Yerry Mina,77,79,11000000,CB,CB,Colombia,https://cdn.sofifa.net/players/220/523/23_60.png,27,195,94,1688,363,Everton,37000,21700000,RES,2023,13,2018,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,High,0.6118178027000242
934,A. Živković,Andrija Živković,77,78,12500000,"RW,LW",RW,Serbia,https://cdn.sofifa.net/players/220/746/23_60.png,25,169,62,1984,424,PAOK,2000,28400000,LW,2024,14,2020,-,Left,3,4,1,-,-,-,-,High,Medium,0.7741082110601649
935,F. Honorat,Franck Honorat,77,78,12500000,"LM,RM,ST",LM,France,https://cdn.sofifa.net/players/220/876/23_60.png,25,180,70,1957,412,Stade Brestois 29,24000,25900000,LM,2025,9,2020,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,0.825045220855104
938,L. Boyé,Lucas Boyé,77,80,14000000,ST,ST,Argentina,https://cdn.sofifa.net/players/222/041/23_60.png,26,183,79,1954,419,Elche CF,23000,31900000,SUB,2024,9,2021,-,Right,2,4,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Low,0.8153343156011696
939,B. Embolo,Breel Embolo,77,80,14000000,"ST,CAM",ST,Switzerland,https://cdn.sofifa.net/players/222/357/23_60.png,25,187,88,2011,436,AS Monaco,49000,27700000,SUB,2026,36,2022,-,Right,4,3,2,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,0.47106038574254205
940,M. Friedrich,Marvin Friedrich,77,79,11500000,CB,CB,Germany,https://cdn.sofifa.net/players/222/493/23_60.png,26,193,84,1702,369,Borussia Mönchengladbach,26000,20400000,SUB,2026,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,0.7096430134160367
941,Dani Ceballos,Daniel Ceballos Fernández,77,80,14000000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/222/509/23_60.png,25,179,68,2007,417,Real Madrid CF,110000,29800000,SUB,2023,19,2017,-,Right,3,4,2,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,0.6130423242315093
944,Pedro Chirivella,Pedro Chirivella Burgos,77,80,12500000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/224/019/23_60.png,25,178,66,1893,400,FC Nantes,24000,25900000,CM,2026,5,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,0.5043462051245335
